source_id,source_file,bytes,source_sha256,parent_count,child_count
SRC018,DB44_26-2001.md,53074,d42d2a095e0e9879a365309e94c4ef56b2052570307858a62f3a93d495d0fe9f,7,56
SRC019,DB44_27-2001.md,50974,3408257edf02cb6d7fa324cd848cf8521277c659243cc19c950b3b66f7b62380,5,45
SRC020,DB44_814-2010.md,18897,83ed57049f431197fe3d6ce48fe3cdb5d54db7941f85b6b04fb8685cb57db417,2,16
SRC021,DB44_815-2010.md,28651,b13ee07dcf6016e3e8c1d0afdb24a00b6f1f10673719734068fadc1250cd54f5,3,25
SRC022,DIFY_KB_INDEX.md,2217,0390cf3ff8d40e4ac4cc0521065755ffb55248e14ff0441df56d4bb4aa9d38bd,1,2
SRC023,EVID_ENV_SHUNDE_2022.md,13959,73c022986aedeb92e59e35f9c92d7869475b86660ea70872df62767b3de3994d,2,12
SRC024,EVID_GB18918_AMD_2025.md,5661,0e6fa6468b311a7b682f83bca8f5f673ec04f187ea8eab1113c38d4c23741c82,1,5
SRC025,EVID_GB18918_CURRENT.md,24589,601a59fc0a6b24ce1db6c879669f454bb58ac28bb506fdbf0d28e27ffb8b1d63,3,21
SRC026,EVID_GB34330_2017.md,13768,f14780b5e13072c598b54c9578617c9cc236359f681a62e79a39380b740802de,1,9
SRC027,EVID_GB34330_2025.md,31158,039911b2cd1c27abdd8dd3fb3a46b65c6e420b77ce83a6243dcc75422fd067c5,3,22
SRC028,EVID_GB5085_1.md,6541,7c2f33607349cd1a177529161eeb8d1c5b971d076b30c2b2803da94ee2274923,1,5
SRC029,EVID_GB5085_2.md,7505,e10589917cca45893da4f763e2541f5880621d3eb26ac81f3c6fdb680f458ab2,1,6
SRC030,EVID_GB5085_3.md,425334,0a419a83bf41f111b1014cce0d28e114dfa75417fb4fcd8de355e8ad3b14bb78,43,405
SRC031,EVID_GB5085_4.md,9644,3b8c20455996af79752dd24f0b19bef4980037b07803ad257b624e2e9f38e6b3,1,7
SRC032,EVID_GB5085_5.md,10623,bd1c7728fdeddeb513dfcc36ae323c1e6ef8cb0110eb3cdbb1737014c8f01b90,1,8
SRC033,EVID_GB5085_6.md,190754,856a73ffde9e722316bf5ff5454674a59908dba94477ba06c096fc8739c5b40d,21,190
SRC034,EVID_GB5085_7_2019.md,8085,f9dc4c0642bee7c66bd7d0eb414624b11f9a15138c6d1f46606be32011ba4777,1,5
SRC035,EVID_GD_SOLID_WASTE_REG.md,26479,daa4864eaa0a455867536a5a32911058fbae27696d97551d247c1295311c84e4,3,17
SRC036,EVID_HJ298_2019.md,24463,439aabdacd1fc480ed577ef4acf6fd26714344b56cb92e6e59cfd9fd3087a9fc,2,18
SRC037,EVID_HW_LIST_2021.md,79135,3d6587107dfe2af33462a9f504fd5746e8177e5c10b47479daf4799118e47c9e,8,68
SRC038,EVID_HW_LIST_2025.md,82958,ff593a895d7a1999484b5ad242b450f57742f4a4d6adbf0cce66bf2f274715ef,8,71
SRC039,EVID_NOISE_FOSHAN_2024.md,121312,25653d6d9c0bbf1bff251ad5c8de5b6502d1fcf67df261cd8bf3795348f764e4,12,106
SRC040,EVID_SOLID_WASTE_LAW_2020.md,57644,813273090f735ff68f474feb8ac35f33d5e7e1a3ca92627b7be776b502b663d3,5,36
SRC041,GB_12348-2008.md,16412,d8b1ab8db64013c43ed7f93de0a6534974cbf210cbfdfda47ab87ea6513b42c5,2,14
SRC042,GB_14554-93.md,10710,ec30cff8b2856a700618017a7f2b548111b9e421df18959bfd88f8ef6fb55dd7,2,12
SRC043,GB_16297-1996.md,48059,61f707c466831caa53082a360cd5af37f595e1a9b21ce95f74e89e76f29bbf10,5,47
SRC044,GB_18597-2023.md,20220,805c19df30859a20df99ca05f13ac2f3484fe36c3d568b243d1b29fdd82d74bf,2,15
SRC045,GB_18599-2020.md,26764,bfe9daafab090c164d291523bb33411fa1893c71e0eff2a6af162542db44a35b,3,21
SRC046,GB_3095-2012.md,19189,cb39c81db4410d07d47df6ee57f3962b1ee80070859d164246fae4532b60b95d,2,16
SRC047,GB_3096-2008.md,28688,8a730ba3830b721e7f81b752c47547a2d24ae1c9327550fd472f123586b19ed0,3,24
SRC048,GB_31572-2015.md,59624,6832b4a13d2dbdd0eec35f9cfa2681950d32d7ec0dfb08a5ec3ab0772f632fe5,6,53
SRC049,GB_33372-2020.md,33873,838e54d4c54fb891d3cf9c3d33404ed44ccbe4a7d9c06a5655b2b712944ec867,4,34
SRC050,GB_37822-2019.md,34850,f4832638f7a74ca1958562fc5281fd3d1d1a4cdaba39cd073bc0c6178e48e030,3,28
SRC051,GB_3838-2002.md,32995,10f73c7a954df549a25ea19cf497c0de59ea062fa2d455b4c2c9e0568e505eec,5,38
SRC052,GB_38508-2020.md,8173,35b4850ca9ed2fd911027b85c52629424a10b9b01e97fb7a48ad4b175051ae67,1,7
SRC053,GB_41616-2022.md,26707,0110e66b65b1317394d237899fd8bed8fcb83aa4ef51fcaa922a4d00418f994d,3,22
SRC054,GB_T_18920-2020.md,9659,25eef0be2ba14686c217afe7a4adeb0c0c1a84f290bc3dc9d139e616c96368c6,1,9
SRC055,HJ_1122-2020.md,457227,2699b119e20c133e11afa7c1a0ade6c0514e154ea23d3b2e00f6ddb00c872ebc,40,381
SRC056,HJ_1207-2021.md,33831,acda5e58aa68a95473bf59c2c7b55aa957de1233fd81451bea584df0ada6a5f0,4,30
SRC057,HJ_169-2018.md,136626,796e02218c2f89d42bae5d3be356d7062001cfdf8b3f7494cae81fe5301e9a6d,19,149
SRC058,HJ_2025-2012.md,17330,a8d3d5796dab812e682a32dfd4ef204e2f7314a323df19a105e69bdd6024759b,2,13
SRC059,HJ_2026-2013.md,27344,7987b42ebcea6402acc392264233f73b1333181b38c901884d941b1b085ead09,3,23
SRC060,HJ_819-2017.md,27081,44d34be107e87ab9513d7df851ddb4ff793b33b14b12887faca6e5a8fe4e91a9,3,21
SRC061,HJ_884-2018.md,23908,eb0813a14f360ff4ee29b71e969ff491e466c798bad114b17526f49eccb085d9,3,20
SRC062,HJ_942.md,12969,43858d25aa74c5fdbd54b371c8d13cae19f3c5728054842f580bc264fe6d378d,2,11
SRC063,national_economic_classification.json,494581,d9274e96488f687b5cc4c1f1d894825f4d464d0a76db5aad31141a19db75c957,35,347
SRC064,national_economic_classification.jsonl,425548,8b093eaa02ca54a06262e14b9336ba21e18d064d7b5e2a3439135ca48a8d1161,34,338
SRC065,plastic_rubber_industry_classification_checked.md,3825,758827ee6d34940c4161258b707316f9d8387a605de200dea16defa79da029c2,1,3
SRC066,三线一单_全部管控单元表格.json,560414,dbefee2ceaaf8c27ec22c9571a0369cd700940e4073c9d59d7f35530c8b0e4fc,28,280
SRC067,三线一单_顺德管控单元.json,2734,b07630c68152220102ba712d78f6decfe0d89cfde651a55ab3343c85c7021b3b,1,2
SRC068,三线一单_顺德管控单元_完整.json,151335,58fd74a62fcc00a8c611fd753acec56d7c0985a6d87bc9bd27ebdf73ec3ceda8,8,77
SRC069,三线一单_顺德管控单元准入清单.json,152966,87c2d4317ed88bc8c393aa3633064ccdc9ac5789f4ade1d0c026a42abb6b0b9f,8,78
SRC070,三线一单_顺德管控单元准入清单.md,66339,a5106045ba9f1e184578a1418df3acb0c1fced6dc4d8ef69e921af42041e908a,5,47
