question_id,project_id,audit_type,group,judgement,evidence_count,check_count,reference_count,missing_reference_count,issue_count,external_status,used_unprovided_external_knowledge,whole_task_abstention,manual_review_needed,judge_correctness,shared_score_100,normalized_score_100
PL002_Emission_噪声,PL002,噪声排放标准,D,存在问题,6,5,2,3,3,insufficient_reference,False,False,True,2,100.0,100.0
PL002_Emission_固体,PL002,固体废物控制标准,A,部分完成,4,5,0,0,3,not_required,False,False,False,1,83.33,83.33
PL002_Emission_固体,PL002,固体废物控制标准,B,存在问题,4,5,3,0,3,verified,False,False,True,1,83.33,87.5
PL002_Emission_固体,PL002,固体废物控制标准,C,存在问题,5,7,0,5,5,not_performed,False,False,True,1,83.33,87.5
PL002_Emission_固体,PL002,固体废物控制标准,D,存在问题,7,7,3,5,5,verified,False,False,True,1,83.33,90.0
PL003_V01_Q01,PL003,国民经济行业分类,A,正确,5,5,0,3,0,insufficient_reference,False,False,False,2,100.0,100.0
PL003_V01_Q01,PL003,国民经济行业分类,B,正确,5,5,4,0,0,verified,False,False,False,2,100.0,100.0
PL003_V01_Q01,PL003,国民经济行业分类,C,正确,7,7,0,1,0,not_performed,False,False,False,2,100.0,100.0
PL003_V01_Q01,PL003,国民经济行业分类,D,正确,7,8,3,0,0,verified,False,False,False,2,100.0,100.0
PL003_V01_Q03,PL003,环评投资概算,A,存在问题,5,6,0,0,2,not_required,False,False,True,2,83.33,83.33
PL003_V01_Q03,PL003,环评投资概算,B,存在问题,7,6,1,1,3,verified,False,False,True,2,83.33,87.5
PL003_V01_Q03,PL003,环评投资概算,C,存在问题,4,6,0,0,1,not_required,False,False,False,2,83.33,87.5
PL003_V01_Q03,PL003,环评投资概算,D,存在问题,5,6,1,0,3,not_required,False,False,True,2,83.33,90.0
PL003_Emission_水污,PL003,水污染物排放标准,A,待人工复核,6,8,0,3,4,insufficient_reference,False,False,True,1,83.33,83.33
PL003_Emission_水污,PL003,水污染物排放标准,B,待人工复核,9,7,5,4,5,insufficient_reference,False,False,True,1,83.33,87.5
PL003_Emission_水污,PL003,水污染物排放标准,C,存在问题,10,6,0,5,6,not_performed,False,False,True,1,83.33,87.5
PL003_Emission_水污,PL003,水污染物排放标准,D,待人工复核,9,9,5,6,7,insufficient_reference,False,False,True,1,83.33,90.0
PL003_Emission_噪声,PL003,噪声排放标准,A,正确,5,4,0,0,0,not_required,False,False,False,2,100.0,100.0
PL003_Emission_噪声,PL003,噪声排放标准,B,正确,4,4,1,1,0,verified,False,False,False,2,100.0,100.0
PL003_Emission_噪声,PL003,噪声排放标准,C,部分完成,8,6,0,2,2,not_performed,False,False,True,1,83.33,87.5
PL003_Emission_噪声,PL003,噪声排放标准,D,部分完成,5,6,2,2,0,insufficient_reference,False,False,True,1,83.33,90.0
PL003_Emission_固体,PL003,固体废物控制标准,A,存在问题,5,6,0,2,2,not_performed,False,False,False,2,100.0,100.0
PL003_Emission_固体,PL003,固体废物控制标准,B,存在问题,5,5,4,1,2,verified,False,False,False,2,100.0,100.0
PL003_Emission_固体,PL003,固体废物控制标准,C,存在问题,6,7,0,7,5,not_performed,False,False,True,2,100.0,100.0
PL003_Emission_固体,PL003,固体废物控制标准,D,存在问题,6,6,4,4,6,verified,False,False,True,2,100.0,100.0
PL004_V01_Q01,PL004,国民经济行业分类,A,正确,4,4,0,0,0,not_required,False,False,False,2,100.0,100.0
PL004_V01_Q01,PL004,国民经济行业分类,B,正确,5,5,3,0,0,verified,False,False,False,2,100.0,100.0
PL004_V01_Q01,PL004,国民经济行业分类,C,正确,6,3,0,1,0,not_performed,False,False,False,2,100.0,100.0
PL004_V01_Q01,PL004,国民经济行业分类,D,待人工复核,6,6,3,3,4,verified,False,False,True,1,83.33,90.0
PL004_Emission_水污,PL004,水污染物排放标准,A,待人工复核,8,7,0,4,3,insufficient_reference,False,False,True,1,83.33,83.33
PL004_Emission_水污,PL004,水污染物排放标准,B,存在问题,5,6,4,3,2,verified,False,False,True,2,100.0,100.0
PL004_Emission_水污,PL004,水污染物排放标准,C,部分完成,9,7,0,5,3,not_performed,False,False,True,1,83.33,87.5
PL004_Emission_水污,PL004,水污染物排放标准,D,存在问题,6,7,5,2,3,verified,False,False,True,2,100.0,100.0
PL004_Emission_噪声,PL004,噪声排放标准,A,部分完成,6,6,0,0,3,not_required,False,False,True,2,100.0,100.0
PL004_Emission_噪声,PL004,噪声排放标准,B,部分完成,4,5,3,2,2,insufficient_reference,False,False,False,2,100.0,100.0
PL004_Emission_噪声,PL004,噪声排放标准,C,存在问题,8,7,0,3,3,not_performed,False,False,True,2,100.0,100.0
PL004_Emission_噪声,PL004,噪声排放标准,D,存在问题,7,8,3,2,5,insufficient_reference,False,False,True,2,100.0,100.0
PL004_Emission_固体,PL004,固体废物控制标准,A,存在问题,3,4,0,0,3,not_required,False,False,False,2,100.0,100.0
PL004_Emission_固体,PL004,固体废物控制标准,B,部分完成,6,6,3,4,3,insufficient_reference,False,False,True,1,83.33,87.5
PL004_Emission_固体,PL004,固体废物控制标准,C,存在问题,5,9,0,4,4,not_performed,False,False,True,2,100.0,100.0
PL004_Emission_固体,PL004,固体废物控制标准,D,存在问题,6,8,3,4,6,insufficient_reference,False,False,True,2,100.0,100.0
PL005_Emission_水污,PL005,水污染物排放标准,A,待人工复核,7,7,0,4,0,insufficient_reference,False,False,True,1,66.67,66.67
PL005_Emission_水污,PL005,水污染物排放标准,B,存在问题,5,8,4,3,2,verified,False,False,True,2,100.0,100.0
PL005_Emission_水污,PL005,水污染物排放标准,C,部分完成,6,8,0,5,2,not_performed,False,False,True,1,66.67,75.0
PL005_Emission_水污,PL005,水污染物排放标准,D,存在问题,6,8,5,2,2,verified,False,False,True,2,100.0,100.0
PL005_Emission_噪声,PL005,噪声排放标准,A,正确,4,5,0,0,0,not_required,False,False,False,2,100.0,100.0
PL005_Emission_噪声,PL005,噪声排放标准,B,正确,8,5,2,2,0,verified,False,False,False,2,100.0,100.0
PL005_Emission_噪声,PL005,噪声排放标准,C,部分完成,7,7,0,3,0,not_performed,False,False,True,2,100.0,100.0
PL005_Emission_噪声,PL005,噪声排放标准,D,部分完成,5,7,1,1,0,insufficient_reference,False,False,True,2,100.0,100.0
PL005_Emission_固体,PL005,固体废物控制标准,A,存在问题,5,4,0,0,2,not_performed,False,False,False,2,100.0,100.0
PL005_Emission_固体,PL005,固体废物控制标准,B,待人工复核,4,5,1,5,2,insufficient_reference,False,False,True,1,66.67,62.5
PL005_Emission_固体,PL005,固体废物控制标准,C,存在问题,8,6,0,6,4,not_performed,False,False,True,2,100.0,100.0
PL005_Emission_固体,PL005,固体废物控制标准,D,存在问题,5,7,2,3,5,insufficient_reference,False,False,True,2,100.0,100.0
PL006_EnvQuality_Q01,PL006,环境质量数据引用,A,待人工复核,4,6,0,2,1,insufficient_reference,False,False,True,1,83.33,83.33
PL006_EnvQuality_Q01,PL006,环境质量数据引用,B,正确,3,6,4,1,0,verified,False,False,False,1,66.67,75.0
PL006_EnvQuality_Q01,PL006,环境质量数据引用,C,部分完成,6,9,0,4,4,not_performed,False,False,True,1,83.33,87.5
PL006_EnvQuality_Q01,PL006,环境质量数据引用,D,存在问题,4,6,4,2,4,verified,False,False,False,2,100.0,100.0
