question_id,group,correctness_likert5,evidence_use_likert5,actionability_likert5,regulatory_basis_likert5,skill_workflow_likert5
PL004_Emission_噪声,C,5.0,5.0,5.0,N/A,5.0
PL004_Emission_噪声,D,5.0,5.0,5.0,5.0,5.0
PL004_Emission_固体,A,5.0,5.0,5.0,N/A,N/A
PL004_Emission_固体,B,2.5,5.0,5.0,5.0,N/A
PL004_Emission_固体,C,5.0,5.0,5.0,N/A,5.0
PL004_Emission_固体,D,5.0,5.0,5.0,5.0,5.0
PL004_Emission_水污,A,2.5,5.0,5.0,N/A,N/A
PL004_Emission_水污,B,5.0,5.0,5.0,5.0,N/A
PL004_Emission_水污,C,2.5,5.0,5.0,N/A,5.0
PL004_Emission_水污,D,5.0,5.0,5.0,5.0,5.0
PL004_V01_Q01,A,5.0,5.0,5.0,N/A,N/A
PL004_V01_Q01,B,5.0,5.0,5.0,5.0,N/A
PL004_V01_Q01,C,5.0,5.0,5.0,N/A,5.0
PL004_V01_Q01,D,2.5,5.0,5.0,5.0,5.0
PL005_Emission_噪声,A,5.0,5.0,5.0,N/A,N/A
PL005_Emission_噪声,B,5.0,5.0,5.0,5.0,N/A
PL005_Emission_噪声,C,5.0,5.0,5.0,N/A,5.0
PL005_Emission_噪声,D,5.0,5.0,5.0,5.0,5.0
PL005_Emission_固体,A,5.0,5.0,5.0,N/A,N/A
PL005_Emission_固体,B,2.5,5.0,2.5,2.5,N/A
PL005_Emission_固体,C,5.0,5.0,5.0,N/A,5.0
PL005_Emission_固体,D,5.0,5.0,5.0,5.0,5.0
PL005_Emission_水污,A,2.5,5.0,2.5,N/A,N/A
PL005_Emission_水污,B,5.0,5.0,5.0,5.0,N/A
PL005_Emission_水污,C,2.5,5.0,2.5,N/A,5.0
PL005_Emission_水污,D,5.0,5.0,5.0,5.0,5.0
PL006_EnvQuality_Q01,A,2.5,5.0,5.0,N/A,N/A
PL006_EnvQuality_Q01,B,2.5,5.0,2.5,5.0,N/A
PL006_EnvQuality_Q01,C,2.5,5.0,5.0,N/A,5.0
PL006_EnvQuality_Q01,D,5.0,5.0,5.0,5.0,5.0
