question_id,group,判断正确性_2pt,判断正确性_5pt,证据使用_2pt,证据使用_5pt,审核意见可执行性_2pt,审核意见可执行性_5pt,法规依据使用_2pt,法规依据使用_5pt,技能流程使用_2pt,技能流程使用_5pt,可比4维度均值_5pt
PL004_V01_Q01,A,2.0,5.00,2.0,5.00,1.5,4.00,2.0,5.00,N/A,N/A,4.75
PL005_Emission_噪声,A,2.0,5.00,2.0,5.00,1.5,4.00,1.5,4.00,N/A,N/A,4.50
PL005_Emission_固体,A,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,N/A,N/A,5.00
PL005_Emission_水污,A,2.0,5.00,2.0,5.00,1.5,4.00,2.0,5.00,N/A,N/A,4.75
PL006_EnvQuality_Q01,A,2.0,5.00,2.0,5.00,1.5,4.00,2.0,5.00,N/A,N/A,4.75
PL001_Emission_固体,B,0.5,2.00,2.0,5.00,2.0,5.00,1.0,3.00,N/A,N/A,3.75
PL001_EnvQuality_Q01,B,0.0,1.00,2.0,5.00,2.0,5.00,1.0,3.00,N/A,N/A,3.50
PL001_V01_Q01,B,1.0,3.00,2.0,5.00,1.5,4.00,1.0,3.00,N/A,N/A,3.75
PL002_Emission_噪声,B,0.5,2.00,2.0,5.00,2.0,5.00,0.0,1.00,N/A,N/A,3.25
PL002_Emission_固体,B,0.0,1.00,2.0,5.00,2.0,5.00,1.0,3.00,N/A,N/A,3.50
PL002_Emission_大气,B,0.0,1.00,2.0,5.00,2.0,5.00,1.0,3.00,N/A,N/A,3.50
PL002_EnvQuality_Q01,B,0.5,2.00,2.0,5.00,2.0,5.00,1.0,3.00,N/A,N/A,3.75
PL002_V01_Q01,B,1.0,3.00,2.0,5.00,2.0,5.00,2.0,5.00,N/A,N/A,4.50
PL003_Emission_噪声,B,1.0,3.00,2.0,5.00,1.5,4.00,0.0,1.00,N/A,N/A,3.25
PL003_Emission_固体,B,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,N/A,N/A,5.00
PL003_Emission_水污,B,0.0,1.00,2.0,5.00,2.0,5.00,0.0,1.00,N/A,N/A,3.00
PL003_V01_Q01,B,1.5,4.00,2.0,5.00,1.5,4.00,1.0,3.00,N/A,N/A,4.00
PL003_V01_Q03,B,0.0,1.00,2.0,5.00,2.0,5.00,0.0,1.00,N/A,N/A,3.00
PL004_Emission_噪声,B,0.0,1.00,2.0,5.00,2.0,5.00,0.0,1.00,N/A,N/A,3.00
PL004_Emission_固体,B,0.0,1.00,2.0,5.00,2.0,5.00,1.0,3.00,N/A,N/A,3.50
PL004_Emission_水污,B,0.5,2.00,2.0,5.00,2.0,5.00,0.0,1.00,N/A,N/A,3.25
PL004_V01_Q01,B,2.0,5.00,2.0,5.00,1.5,4.00,2.0,5.00,N/A,N/A,4.75
PL005_Emission_噪声,B,1.0,3.00,2.0,5.00,1.5,4.00,1.0,3.00,N/A,N/A,3.75
PL005_Emission_固体,B,2.0,5.00,2.0,5.00,2.0,5.00,1.0,3.00,N/A,N/A,4.50
PL005_Emission_水污,B,1.0,3.00,2.0,5.00,2.0,5.00,1.0,3.00,N/A,N/A,4.00
PL006_EnvQuality_Q01,B,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,N/A,N/A,5.00
PL001_Emission_固体,C,1.5,4.00,2.0,5.00,2.0,5.00,0.0,1.00,2.0,5.00,3.75
PL001_EnvQuality_Q01,C,1.0,3.00,2.0,5.00,2.0,5.00,0.0,1.00,2.0,5.00,3.50
PL001_V01_Q01,C,1.0,3.00,2.0,5.00,2.0,5.00,0.0,1.00,1.5,4.00,3.50
PL002_Emission_噪声,C,1.5,4.00,2.0,5.00,2.0,5.00,0.0,1.00,2.0,5.00,3.75
PL002_Emission_固体,C,1.5,4.00,2.0,5.00,2.0,5.00,0.0,1.00,2.0,5.00,3.75
PL002_Emission_大气,C,1.5,4.00,2.0,5.00,2.0,5.00,0.0,1.00,2.0,5.00,3.75
PL002_EnvQuality_Q01,C,1.0,3.00,2.0,5.00,2.0,5.00,0.0,1.00,2.0,5.00,3.50
PL002_V01_Q01,C,1.0,3.00,2.0,5.00,2.0,5.00,0.0,1.00,2.0,5.00,3.50
PL003_Emission_噪声,C,1.0,3.00,2.0,5.00,1.5,4.00,0.0,1.00,1.5,4.00,3.25
PL003_Emission_固体,C,1.5,4.00,2.0,5.00,2.0,5.00,0.0,1.00,1.5,4.00,3.75
PL003_Emission_水污,C,1.0,3.00,2.0,5.00,2.0,5.00,0.0,1.00,1.5,4.00,3.50
PL003_V01_Q01,C,1.5,4.00,2.0,5.00,1.5,4.00,0.0,1.00,1.5,4.00,3.50
PL003_V01_Q03,C,1.5,4.00,2.0,5.00,2.0,5.00,1.5,4.00,2.0,5.00,4.50
PL004_Emission_噪声,C,1.5,4.00,2.0,5.00,2.0,5.00,0.0,1.00,2.0,5.00,3.75
PL004_Emission_固体,C,1.0,3.00,2.0,5.00,2.0,5.00,0.0,1.00,2.0,5.00,3.50
PL004_Emission_水污,C,1.0,3.00,2.0,5.00,1.5,4.00,0.0,1.00,1.5,4.00,3.25
PL004_V01_Q01,C,1.5,4.00,2.0,5.00,1.5,4.00,0.0,1.00,1.5,4.00,3.50
PL005_Emission_噪声,C,1.0,3.00,2.0,5.00,1.5,4.00,0.0,1.00,1.5,4.00,3.25
PL005_Emission_固体,C,1.0,3.00,2.0,5.00,2.0,5.00,0.0,1.00,2.0,5.00,3.50
PL005_Emission_水污,C,1.5,4.00,2.0,5.00,2.0,5.00,0.0,1.00,2.0,5.00,3.75
PL006_EnvQuality_Q01,C,1.0,3.00,2.0,5.00,1.5,4.00,0.0,1.00,2.0,5.00,3.25
PL001_Emission_固体,D,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,1.5,4.00,5.00
PL001_EnvQuality_Q01,D,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,5.00
PL001_V01_Q01,D,2.0,5.00,2.0,5.00,1.5,4.00,1.0,3.00,1.5,4.00,4.25
PL002_Emission_噪声,D,2.0,5.00,2.0,5.00,1.5,4.00,2.0,5.00,1.5,4.00,4.75
PL002_Emission_固体,D,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,1.5,4.00,5.00
PL002_Emission_大气,D,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,1.5,4.00,5.00
PL002_EnvQuality_Q01,D,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,5.00
PL002_V01_Q01,D,2.0,5.00,2.0,5.00,1.5,4.00,2.0,5.00,1.5,4.00,4.75
PL003_Emission_噪声,D,2.0,5.00,2.0,5.00,1.5,4.00,2.0,5.00,1.5,4.00,4.75
PL003_Emission_固体,D,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,1.5,4.00,5.00
PL003_Emission_水污,D,1.0,3.00,2.0,5.00,2.0,5.00,1.0,3.00,1.5,4.00,4.00
PL003_V01_Q01,D,2.0,5.00,2.0,5.00,1.5,4.00,2.0,5.00,1.5,4.00,4.75
PL003_V01_Q03,D,1.5,4.00,2.0,5.00,2.0,5.00,1.5,4.00,2.0,5.00,4.50
PL004_Emission_噪声,D,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,5.00
PL004_Emission_固体,D,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,1.5,4.00,5.00
PL004_Emission_水污,D,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,1.5,4.00,5.00
PL004_V01_Q01,D,2.0,5.00,2.0,5.00,1.5,4.00,2.0,5.00,1.5,4.00,4.75
PL005_Emission_噪声,D,2.0,5.00,2.0,5.00,1.5,4.00,2.0,5.00,1.5,4.00,4.75
PL005_Emission_固体,D,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,1.5,4.00,5.00
PL005_Emission_水污,D,2.0,5.00,2.0,5.00,1.5,4.00,2.0,5.00,1.5,4.00,4.75
PL006_EnvQuality_Q01,D,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,2.0,5.00,5.00
