source_id,title,issuing_authority,publish_date,effective_date,expiry_or_replacement_date,official_url,original_sha256,card_sha256,applicable_scope,applicable_region,source_type,traceability_level,review_status,notes
std_010,声环境质量标准 GB3096 功能区限值,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,3500f8d28d3e027d39e033dc12827aca9fc3ba682257209d35a4d56b13746ad4,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_011,塑料制品业 NMHC 有组织排放 GB31572 限值,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,95bb3592d938464008bc53f71d948b2cf6ed545aa9bb4c50aee71a1df555db36,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_012,广东固定污染源 VOCs 综合排放 DB44/2367 限值,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,12afc2fa7bfe83fdbc89931235a53610346820e9f3efb307d44c1fa0cd225c5d,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_013,臭气浓度 GB14554 有组织与厂界无组织限值,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,9d24bab872f0b3a9abb617f02d58d7e59eb0d386f82a3e37ad5bb55aa66fe1d9,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_014,颗粒物 DB44/27 第二时段限值,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,fe05d829ea068aafe57127f6576b316d51dfec9810a3f26acb7e9b844a12b763,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_015,工业企业厂界环境噪声排放 GB12348 限值,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,de50342e2bf0953041df37e66085b7a34545de2891370de9c31ae1fc0cc23962,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_016,生活污水预处理与尾水排放标准衔接,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,b2d271ec0180bd7e65184bbe44eb974fef433ba01f38b357a79e5205ad4fc00b,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_017,塑料制品业废气产污系数选用边界,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,354ac7d4cac19e5a0c83d351a71ec11ab0e27706853d09286d0dc37cf47a2873,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_018,产污量定量核算公式完整性,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,03c847f125df9dee96d3ab975be31ab0ac902203e6cd1ed86c2e67ebfdcc41a8,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_019,废气收集形式与控制风速要求,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,7a32e920335255d3e8941d670e9468fbbc015d634962649682d0fb5d455945ca,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_020,集气罩排气量计算公式,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,905467aea1dfc035c656fcdb32f065a70d53034e15a4fdeae83645e81567c155,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_021,设计风量、漏风系数与风机匹配,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,f61a185d69b5faf80cd9dbd887a5348dd0a4687493cc2b53b08cb7662a8a7e80,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_022,废气管道与排气筒设计风速,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,f94c95ab5aecd613015c35629928a6e0a6073688b7202d62ecb8ff511e55cbfd,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_023,VOCs 废气收集效率取值表,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,fac04ef3d1f460eacd099b7faf8d5b53ae55aac7f4db51feade1c23bf2bdc790,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_024,活性炭吸附治理参数完整性,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,ec646741d31b56aff9b783caa847ca3e2ec82a572070770d4d5a4d05c6ddb6f8,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_025,危险废物识别、贮存与一般固废区分,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,b8ce9d72f3589dbc3006761c786adb1e2ad69dc466314d1928a5ab9bf7a79cee,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_026,VOCs 产生量、收集量、削减量、排放量总量链条,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,4a06f9eed8efafb390ff4eb2262370279fa27ff08c19be236f22e8cafd4f4387,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_027,大气污染物综合排放标准 GB16297,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,8418b7599db9c98a99db57f64b749229ce019fbe2f247c4cb57af765f5d34e7d,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_028,广东家具制造行业挥发性有机化合物排放标准 DB44/814,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,0c6b228b809138d4caa9039bb7048f9c95098c120af33b4e143dc9352fff0b96,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_029,广东印刷行业挥发性有机化合物排放标准 DB44/815,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,3550426dd4d4d0354a120cee4ec8e4dcb9cd36e2480bea6619e73b8618a4d4ac,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_030,胶粘剂挥发性有机化合物限量 GB33372,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,136cdf8bae1f5f79fa11cb3844062a9d7bb24e733296d2804e2f06dd24ea1346,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_031,清洗剂挥发性有机化合物含量限值 GB38508,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,31da8805ee92388de72bf2d154ac67a5f0136bd49a58355d95df87c21a22e3bc,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_032,印刷工业大气污染物排放标准 GB41616,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,086e89163a5bc02da3c05da6fa09031dc267c9d2e221d36dbdc429f67a174b4d,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_033,排污许可证申请与核发技术规范 橡胶和塑料制品工业 HJ1122,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,512fd610c8e0b38819c036bab7ee6e52d73a8eaf2d423b88e2ac8f8bdb4d8889,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_034,排污单位自行监测技术指南 橡胶和塑料制品 HJ1207,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,5b679e9632c65e4a3cb7523b3e2d1933d06150e46d5a88521d9a64f37e207ea3,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_035,排污单位自行监测技术指南 总则 HJ819,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,fcc0063475c3c651e2a6b16fc0a965648d9e1d0c446cc759d9e2d9b7c2a53350,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_036,污染源源强核算技术指南 准则 HJ884,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,700699381ab0ed5c2c6d5c2cc04e7d88e144f41f30e4b00b79b6588e942bfcab,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_037,城市污水再生利用 城市杂用水水质 GB/T 18920-2020 限值,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,937019933e429eb779c3d98c56c3b2cca0e58ab9a8238cf58f32923206a30b37,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
