run_id,question_id,task_type,model,kc,status,input_status,output_tokens,answer_chars,causes,is_valid_data
PL013_HazardousWaste_Q01__A2_K1,PL013_HazardousWaste_Q01,危险废物识别,A2,K1,OK,ready,2776,1119,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL013_HazardousWaste_Q01__A2_K2,PL013_HazardousWaste_Q01,危险废物识别,A2,K2,OK,ready,3137,1463,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL013_HazardousWaste_Q01__A2_K3,PL013_HazardousWaste_Q01,危险废物识别,A2,K3,OK,ready,3931,1422,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL013_HazardousWaste_Q01__A3_K1,PL013_HazardousWaste_Q01,危险废物识别,A3,K1,TRUNCATED,ready,8192,2446,E3_TRUNC_PARTIAL;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL013_HazardousWaste_Q01__A3_K2,PL013_HazardousWaste_Q01,危险废物识别,A3,K2,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL013_HazardousWaste_Q01__A3_K3,PL013_HazardousWaste_Q01,危险废物识别,A3,K3,TRUNCATED,ready,8192,2899,E3_TRUNC_PARTIAL;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_DesignAirflow_Q01__A1_K1,PL008_DesignAirflow_Q01,废气设计风量,A1,K1,OK,ready,5473,3718,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_DesignAirflow_Q01__A1_K2,PL008_DesignAirflow_Q01,废气设计风量,A1,K2,OK,ready,5758,4492,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_DesignAirflow_Q01__A1_K3,PL008_DesignAirflow_Q01,废气设计风量,A1,K3,OK,ready,5813,4588,E4_FORMAT_NOT_JSON;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_DesignAirflow_Q01__A2_K1,PL008_DesignAirflow_Q01,废气设计风量,A2,K1,OK,ready,1734,700,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_DesignAirflow_Q01__A2_K2,PL008_DesignAirflow_Q01,废气设计风量,A2,K2,OK,ready,1593,904,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_DesignAirflow_Q01__A2_K3,PL008_DesignAirflow_Q01,废气设计风量,A2,K3,OK,ready,2081,960,E4_FORMAT_NOT_JSON;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_DesignAirflow_Q01__A3_K1,PL008_DesignAirflow_Q01,废气设计风量,A3,K1,OK,ready,6837,3932,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_DesignAirflow_Q01__A3_K2,PL008_DesignAirflow_Q01,废气设计风量,A3,K2,OK,ready,4160,3623,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_DesignAirflow_Q01__A3_K3,PL008_DesignAirflow_Q01,废气设计风量,A3,K3,OK,ready,5354,4280,E4_FORMAT_NOT_JSON;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL007_CaptureEfficiency_Q01__A1_K1,PL007_CaptureEfficiency_Q01,废气收集效率,A1,K1,OK,ready,6938,5480,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL007_CaptureEfficiency_Q01__A1_K2,PL007_CaptureEfficiency_Q01,废气收集效率,A1,K2,TRUNCATED,ready,8192,3423,E3_TRUNC_PARTIAL;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL007_CaptureEfficiency_Q01__A1_K3,PL007_CaptureEfficiency_Q01,废气收集效率,A1,K3,OK,ready,7630,4802,E4_FORMAT_NOT_JSON;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL007_CaptureEfficiency_Q01__A2_K1,PL007_CaptureEfficiency_Q01,废气收集效率,A2,K1,OK,ready,2171,1214,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL007_CaptureEfficiency_Q01__A2_K2,PL007_CaptureEfficiency_Q01,废气收集效率,A2,K2,OK,ready,2653,1268,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL007_CaptureEfficiency_Q01__A2_K3,PL007_CaptureEfficiency_Q01,废气收集效率,A2,K3,OK,ready,2416,1097,E4_FORMAT_NOT_JSON;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL007_CaptureEfficiency_Q01__A3_K1,PL007_CaptureEfficiency_Q01,废气收集效率,A3,K1,OK,ready,7614,4326,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL007_CaptureEfficiency_Q01__A3_K2,PL007_CaptureEfficiency_Q01,废气收集效率,A3,K2,TRUNCATED,ready,8192,3005,E3_TRUNC_PARTIAL;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL007_CaptureEfficiency_Q01__A3_K3,PL007_CaptureEfficiency_Q01,废气收集效率,A3,K3,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_VOCSMeasure_Q01__A1_K1,PL008_VOCSMeasure_Q01,VOCs治理措施一致性,A1,K1,OK,ready,4785,2218,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED;S2_GOLD_SUSPECT,False
PL008_VOCSMeasure_Q01__A1_K2,PL008_VOCSMeasure_Q01,VOCs治理措施一致性,A1,K2,OK,ready,4982,3575,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED;S2_GOLD_SUSPECT,False
PL008_VOCSMeasure_Q01__A1_K3,PL008_VOCSMeasure_Q01,VOCs治理措施一致性,A1,K3,OK,ready,4698,3743,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED;S2_GOLD_SUSPECT,False
PL008_VOCSMeasure_Q01__A2_K1,PL008_VOCSMeasure_Q01,VOCs治理措施一致性,A2,K1,OK,ready,2679,1219,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED;S2_GOLD_SUSPECT,False
PL008_VOCSMeasure_Q01__A2_K2,PL008_VOCSMeasure_Q01,VOCs治理措施一致性,A2,K2,OK,ready,2143,1281,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED;S2_GOLD_SUSPECT,False
PL008_VOCSMeasure_Q01__A2_K3,PL008_VOCSMeasure_Q01,VOCs治理措施一致性,A2,K3,OK,ready,1560,809,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED;S2_GOLD_SUSPECT,False
PL008_VOCSMeasure_Q01__A3_K1,PL008_VOCSMeasure_Q01,VOCs治理措施一致性,A3,K1,OK,ready,5410,2852,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED;S2_GOLD_SUSPECT,False
PL008_VOCSMeasure_Q01__A3_K2,PL008_VOCSMeasure_Q01,VOCs治理措施一致性,A3,K2,OK,ready,7266,3437,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED;S2_GOLD_SUSPECT,False
PL008_VOCSMeasure_Q01__A3_K3,PL008_VOCSMeasure_Q01,VOCs治理措施一致性,A3,K3,OK,ready,6003,2723,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED;S2_GOLD_SUSPECT,False
PL008_VOCSTotal_Q01__A1_K1,PL008_VOCSTotal_Q01,VOCs源强与总量数值一致性,A1,K1,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_VOCSTotal_Q01__A1_K2,PL008_VOCSTotal_Q01,VOCs源强与总量数值一致性,A1,K2,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_VOCSTotal_Q01__A1_K3,PL008_VOCSTotal_Q01,VOCs源强与总量数值一致性,A1,K3,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_VOCSTotal_Q01__A2_K1,PL008_VOCSTotal_Q01,VOCs源强与总量数值一致性,A2,K1,OK,ready,5581,1983,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_VOCSTotal_Q01__A2_K2,PL008_VOCSTotal_Q01,VOCs源强与总量数值一致性,A2,K2,OK,ready,5649,1914,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_VOCSTotal_Q01__A2_K3,PL008_VOCSTotal_Q01,VOCs源强与总量数值一致性,A2,K3,OK,ready,4687,1891,E4_FORMAT_NOT_JSON;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_VOCSTotal_Q01__A3_K1,PL008_VOCSTotal_Q01,VOCs源强与总量数值一致性,A3,K1,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_VOCSTotal_Q01__A3_K2,PL008_VOCSTotal_Q01,VOCs源强与总量数值一致性,A3,K2,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL008_VOCSTotal_Q01__A3_K3,PL008_VOCSTotal_Q01,VOCs源强与总量数值一致性,A3,K3,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL006_invest_ratio__A1_K1,NEW_PL006_invest_ratio,环保投资比例核算,A1,K1,OK,error_no_report,530,498,E4_FORMAT_NOT_JSON;I1_NO_REPORT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL006_invest_ratio__A1_K2,NEW_PL006_invest_ratio,环保投资比例核算,A1,K2,OK,error_no_report,1007,893,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL006_invest_ratio__A1_K3,NEW_PL006_invest_ratio,环保投资比例核算,A1,K3,OK,error_no_report,792,714,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL006_invest_ratio__A2_K1,NEW_PL006_invest_ratio,环保投资比例核算,A2,K1,OK,error_no_report,738,421,E4_FORMAT_NOT_JSON;I1_NO_REPORT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL006_invest_ratio__A2_K2,NEW_PL006_invest_ratio,环保投资比例核算,A2,K2,OK,error_no_report,1216,664,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL006_invest_ratio__A2_K3,NEW_PL006_invest_ratio,环保投资比例核算,A2,K3,OK,error_no_report,983,722,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL006_invest_ratio__A3_K1,NEW_PL006_invest_ratio,环保投资比例核算,A3,K1,OK,error_no_report,454,433,E4_FORMAT_NOT_JSON;I1_NO_REPORT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL006_invest_ratio__A3_K2,NEW_PL006_invest_ratio,环保投资比例核算,A3,K2,OK,error_no_report,843,661,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL006_invest_ratio__A3_K3,NEW_PL006_invest_ratio,环保投资比例核算,A3,K3,OK,error_no_report,730,709,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL010_invest_ratio__A1_K1,NEW_PL010_invest_ratio,环保投资比例核算,A1,K1,OK,error_no_report,532,501,E4_FORMAT_NOT_JSON;I1_NO_REPORT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL010_invest_ratio__A1_K2,NEW_PL010_invest_ratio,环保投资比例核算,A1,K2,OK,error_no_report,549,433,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I3_WEB_EMPTY;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL010_invest_ratio__A1_K3,NEW_PL010_invest_ratio,环保投资比例核算,A1,K3,OK,error_no_report,681,639,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL010_invest_ratio__A2_K1,NEW_PL010_invest_ratio,环保投资比例核算,A2,K1,OK,error_no_report,1020,549,E4_FORMAT_NOT_JSON;I1_NO_REPORT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL010_invest_ratio__A2_K2,NEW_PL010_invest_ratio,环保投资比例核算,A2,K2,OK,error_no_report,1240,666,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I3_WEB_EMPTY;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL010_invest_ratio__A2_K3,NEW_PL010_invest_ratio,环保投资比例核算,A2,K3,OK,error_no_report,1014,574,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL010_invest_ratio__A3_K1,NEW_PL010_invest_ratio,环保投资比例核算,A3,K1,OK,error_no_report,689,473,E4_FORMAT_NOT_JSON;I1_NO_REPORT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL010_invest_ratio__A3_K2,NEW_PL010_invest_ratio,环保投资比例核算,A3,K2,OK,error_no_report,910,483,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I3_WEB_EMPTY;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL010_invest_ratio__A3_K3,NEW_PL010_invest_ratio,环保投资比例核算,A3,K3,OK,error_no_report,1035,579,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL007_ro_water__A1_K1,NEW_PL007_ro_water,纯水制备水量核算,A1,K1,OK,error_no_report,1478,864,E4_FORMAT_NOT_JSON;I1_NO_REPORT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL007_ro_water__A1_K2,NEW_PL007_ro_water,纯水制备水量核算,A1,K2,OK,error_no_report,1929,1936,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL007_ro_water__A1_K3,NEW_PL007_ro_water,纯水制备水量核算,A1,K3,OK,error_no_report,2243,2539,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL007_ro_water__A2_K1,NEW_PL007_ro_water,纯水制备水量核算,A2,K1,OK,error_no_report,1397,754,E4_FORMAT_NOT_JSON;I1_NO_REPORT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL007_ro_water__A2_K2,NEW_PL007_ro_water,纯水制备水量核算,A2,K2,OK,error_no_report,1626,911,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
NEW_PL007_ro_water__A2_K3,NEW_PL007_ro_water,纯水制备水量核算,A2,K3,OK,error_no_report,1634,691,E4_FORMAT_NOT_JSON;I1_NO_REPORT;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
